=== OVS Snapshot: post_churn @ 2026-04-19T00:17:09,968337453-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=4198.731s, table=0, n_packets=4791585, n_bytes=6331141378, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=4198.734s, table=0, n_packets=132595, n_bytes=8789057, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a0004f9, duration=25.207s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.5.211,tp_src=33916,tp_dst=5001 actions=set_field:10.0.4.249->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:04:f9:fd->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a000d8e, duration=25.101s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.4.232,tp_src=34380,tp_dst=5001 actions=set_field:10.0.13.142->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:0d:8e:83->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a00050f, duration=25.030s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.20.250,tp_src=47666,tp_dst=5001 actions=set_field:10.0.5.15->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:05:0f:0a->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a0004ae, duration=24.994s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.5.228,tp_src=58748,tp_dst=5001 actions=set_field:10.0.4.174->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:04:ae:aa->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a000414, duration=24.961s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.5.107,tp_src=48084,tp_dst=5001 actions=set_field:10.0.4.20->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:04:14:10->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a000e0e, duration=24.922s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.21.93,tp_src=52552,tp_dst=5001 actions=set_field:10.0.14.14->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0e:0e:00->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a00045d, duration=24.842s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.5.155,tp_src=57582,tp_dst=5001 actions=set_field:10.0.4.93->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:04:5d:59->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a0003fa, duration=24.809s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.5.77,tp_src=38476,tp_dst=5001 actions=set_field:10.0.3.250->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:03:fa:f9->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a0004ee, duration=24.748s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.5.76,tp_src=55388,tp_dst=5001 actions=set_field:10.0.4.238->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:04:ee:ea->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a00047f, duration=24.748s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.5.183,tp_src=51182,tp_dst=5001 actions=set_field:10.0.4.127->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:04:7f:7b->eth_src,set_field:00:00:00:00:01:10->eth_dst,output:1
 cookie=0xa00000000a000406, duration=24.748s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.5.92,tp_src=33188,tp_dst=5001 actions=set_field:10.0.4.6->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:04:06:02->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a00043f, duration=24.701s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.5.130,tp_src=55564,tp_dst=5001 actions=set_field:10.0.4.63->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:04:3f:3b->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
