=== OVS Snapshot: mid_udp @ 2026-04-19T21:48:58,394327562-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=1377.491s, table=0, n_packets=1027, n_bytes=61620, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=62.906s, table=0, n_packets=545, n_bytes=824040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=38879,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=62.893s, table=0, n_packets=545, n_bytes=824040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=34095,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=62.882s, table=0, n_packets=545, n_bytes=824040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=59088,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=62.870s, table=0, n_packets=545, n_bytes=824040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=46794,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=62.859s, table=0, n_packets=545, n_bytes=824040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=50924,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=62.848s, table=0, n_packets=545, n_bytes=824040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=47869,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=62.835s, table=0, n_packets=544, n_bytes=822528, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,tp_src=59043,tp_dst=5001 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=62.824s, table=0, n_packets=544, n_bytes=822528, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.8,nw_dst=10.0.1.6,tp_src=51026,tp_dst=5001 actions=set_field:00:00:00:00:01:04->eth_dst,output:12
 cookie=0x0, duration=62.812s, table=0, n_packets=544, n_bytes=822528, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=52985,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=62.801s, table=0, n_packets=544, n_bytes=822528, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.10,nw_dst=10.0.1.8,tp_src=48621,tp_dst=5001 actions=set_field:00:00:00:00:01:06->eth_dst,output:12
 cookie=0x0, duration=62.790s, table=0, n_packets=544, n_bytes=822528, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=50284,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=62.777s, table=0, n_packets=544, n_bytes=822528, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=39193,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
