=== OVS Snapshot: post_churn @ 2026-04-18T22:51:04,076677492-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=819.967s, table=0, n_packets=408773, n_bytes=425675802, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=819.969s, table=0, n_packets=21995, n_bytes=1317612, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0xa00000000a001a28, duration=15.321s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.3.156,tp_src=46674,tp_dst=5001 actions=set_field:10.0.26.40->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:1a:28:32->eth_src,set_field:00:00:00:00:01:05->eth_dst,FLOOD
 cookie=0xa00000000a0019f1, duration=15.255s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.3.50,tp_src=42154,tp_dst=5001 actions=set_field:10.0.25.241->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:19:f1:e8->eth_src,set_field:00:00:00:00:01:00->eth_dst,FLOOD
 cookie=0xa00000000a0019fc, duration=15.203s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.3.112,tp_src=39748,tp_dst=5001 actions=set_field:10.0.25.252->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:19:fc:e5->eth_src,set_field:00:00:00:00:01:01->eth_dst,FLOOD
 cookie=0xa00000000a001978, duration=15.069s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.26.96,tp_src=39344,tp_dst=5001 actions=set_field:10.0.25.120->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:19:78:61->eth_src,set_field:00:00:00:00:01:0c->eth_dst,FLOOD
 cookie=0xa00000000a0019b0, duration=15.036s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.3.39,tp_src=35790,tp_dst=5001 actions=set_field:10.0.25.176->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:19:b0:a9->eth_src,set_field:00:00:00:00:01:11->eth_dst,FLOOD
 cookie=0xa00000000a001941, duration=14.787s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.3.178,tp_src=35614,tp_dst=5001 actions=set_field:10.0.25.65->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:19:41:58->eth_src,set_field:00:00:00:00:01:07->eth_dst,FLOOD
 cookie=0xa00000000a001999, duration=14.731s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.3.17,tp_src=48332,tp_dst=5001 actions=set_field:10.0.25.153->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:19:99:80->eth_src,set_field:00:00:00:00:01:0f->eth_dst,FLOOD
 cookie=0xa00000000a001a1d, duration=14.437s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.3.145,tp_src=58108,tp_dst=5001 actions=set_field:10.0.26.29->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:1a:1d:07->eth_src,set_field:00:00:00:00:01:04->eth_dst,FLOOD
 cookie=0xa00000000a0019a5, duration=14.328s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.3.28,tp_src=37662,tp_dst=5001 actions=set_field:10.0.25.165->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:19:a5:bc->eth_src,set_field:00:00:00:00:01:10->eth_dst,FLOOD
 cookie=0xa00000000a001936, duration=14.327s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.3.167,tp_src=45318,tp_dst=5001 actions=set_field:10.0.25.54->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:19:36:2f->eth_src,set_field:00:00:00:00:01:06->eth_dst,FLOOD
 cookie=0xa00000000a00196d, duration=14.237s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.26.85,tp_src=39066,tp_dst=5001 actions=set_field:10.0.25.109->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:19:6d:74->eth_src,set_field:00:00:00:00:01:0b->eth_dst,FLOOD
 cookie=0xa00000000a001a28, duration=14.198s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.3.156,tp_src=46688,tp_dst=5001 actions=set_field:10.0.26.40->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:1a:28:32->eth_src,set_field:00:00:00:00:01:05->eth_dst,FLOOD
 cookie=0xa00000000a0019fc, duration=14.167s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.3.112,tp_src=39762,tp_dst=5001 actions=set_field:10.0.25.252->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:19:fc:e5->eth_src,set_field:00:00:00:00:01:01->eth_dst,FLOOD
 cookie=0xa00000000a0019f1, duration=14.112s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.3.50,tp_src=42160,tp_dst=5001 actions=set_field:10.0.25.241->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:19:f1:e8->eth_src,set_field:00:00:00:00:01:00->eth_dst,FLOOD
 cookie=0xa00000000a001978, duration=13.861s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.26.96,tp_src=39356,tp_dst=5001 actions=set_field:10.0.25.120->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:19:78:61->eth_src,set_field:00:00:00:00:01:0c->eth_dst,FLOOD
 cookie=0xa00000000a001941, duration=13.594s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.3.178,tp_src=35632,tp_dst=5001 actions=set_field:10.0.25.65->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:19:41:58->eth_src,set_field:00:00:00:00:01:07->eth_dst,FLOOD
 cookie=0xa00000000a0019b0, duration=13.521s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.3.39,tp_src=35800,tp_dst=5001 actions=set_field:10.0.25.176->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:19:b0:a9->eth_src,set_field:00:00:00:00:01:11->eth_dst,FLOOD
 cookie=0xa00000000a001999, duration=13.285s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.3.17,tp_src=48342,tp_dst=5001 actions=set_field:10.0.25.153->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:19:99:80->eth_src,set_field:00:00:00:00:01:0f->eth_dst,FLOOD
 cookie=0xa00000000a0019a5, duration=13.285s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.3.28,tp_src=37666,tp_dst=5001 actions=set_field:10.0.25.165->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:19:a5:bc->eth_src,set_field:00:00:00:00:01:10->eth_dst,FLOOD
 cookie=0xa00000000a001936, duration=13.197s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.3.167,tp_src=45328,tp_dst=5001 actions=set_field:10.0.25.54->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:19:36:2f->eth_src,set_field:00:00:00:00:01:06->eth_dst,FLOOD
 cookie=0xa00000000a001a1d, duration=13.197s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.3.145,tp_src=58116,tp_dst=5001 actions=set_field:10.0.26.29->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:1a:1d:07->eth_src,set_field:00:00:00:00:01:04->eth_dst,FLOOD
