=== OVS Snapshot: mid_churn @ 2026-04-18T23:34:21,630446325-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=1630.509s, table=0, n_packets=1575833, n_bytes=2118220722, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=1630.544s, table=0, n_packets=48805, n_bytes=3101073, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000a4b, duration=10.011s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.8.97,tp_src=58442,tp_dst=5001 actions=set_field:10.0.10.75->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:0a:4b:41->eth_src,set_field:00:00:00:00:01:05->eth_dst,FLOOD
 cookie=0xa00000000a000a2a, duration=9.321s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.8.9,tp_src=53668,tp_dst=5001 actions=set_field:10.0.10.42->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:0a:2a:20->eth_src,set_field:00:00:00:00:01:03->eth_dst,FLOOD
 cookie=0xa00000000a000805, duration=9.321s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.9.221,tp_src=60410,tp_dst=5001 actions=set_field:10.0.8.5->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:08:05:0d->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a0009b8, duration=9.198s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.11.11,tp_src=43378,tp_dst=5001 actions=set_field:10.0.9.184->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:09:b8:b1->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a000a3b, duration=9.173s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.8.58,tp_src=54150,tp_dst=5001 actions=set_field:10.0.10.59->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:0a:3b:31->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a00097b, duration=9.150s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.9.222,tp_src=42958,tp_dst=5001 actions=set_field:10.0.9.123->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:09:7b:72->eth_src,set_field:00:00:00:00:00:fe->eth_dst,FLOOD
 cookie=0xa00000000a000894, duration=9.150s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.10.109,tp_src=37532,tp_dst=5001 actions=set_field:10.0.8.148->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:08:94:9c->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a00080b, duration=9.059s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.8.131,tp_src=51580,tp_dst=5001 actions=set_field:10.0.8.11->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:08:0b:03->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000992, duration=8.998s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.10.234,tp_src=46508,tp_dst=5001 actions=set_field:10.0.9.146->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:09:92:9b->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a00090b, duration=8.998s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.10.132,tp_src=53120,tp_dst=5001 actions=set_field:10.0.9.11->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:09:0b:02->eth_src,set_field:00:00:00:00:01:0b->eth_dst,FLOOD
 cookie=0xa00000000a000a4b, duration=8.983s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.8.97,tp_src=58496,tp_dst=5001 actions=set_field:10.0.10.75->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:0a:4b:41->eth_src,set_field:00:00:00:00:01:05->eth_dst,FLOOD
 cookie=0xa00000000a0009ef, duration=8.967s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.10.246,tp_src=49124,tp_dst=5001 actions=set_field:10.0.9.239->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:09:ef:e6->eth_src,set_field:00:00:00:00:01:00->eth_dst,FLOOD
 cookie=0xa00000000a000961, duration=8.967s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.10.207,tp_src=52924,tp_dst=5001 actions=set_field:10.0.9.97->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:09:61:68->eth_src,set_field:00:00:00:00:01:0f->eth_dst,FLOOD
 cookie=0xa00000000a000864, duration=8.919s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.10.91,tp_src=35692,tp_dst=5001 actions=set_field:10.0.8.100->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:08:64:6c->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a000a1d, duration=8.846s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.7.234,tp_src=36520,tp_dst=5001 actions=set_field:10.0.10.29->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:0a:1d:17->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a0009aa, duration=8.538s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.10.247,tp_src=42090,tp_dst=5001 actions=set_field:10.0.9.170->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:09:aa:a3->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a000a02, duration=8.275s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.7.203,tp_src=60200,tp_dst=5001 actions=set_field:10.0.10.2->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:0a:02:08->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a000845, duration=7.803s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.8.170,tp_src=37638,tp_dst=5001 actions=set_field:10.0.8.69->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:08:45:4d->eth_src,set_field:00:00:00:00:01:07->eth_dst,FLOOD
 cookie=0xa00000000a0009e3, duration=7.803s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.10.90,tp_src=58936,tp_dst=5001 actions=set_field:10.0.9.227->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:09:e3:ea->eth_src,set_field:00:00:00:00:00:ff->eth_dst,FLOOD
 cookie=0xa00000000a000961, duration=7.777s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.10.207,tp_src=52938,tp_dst=5001 actions=set_field:10.0.9.97->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:09:61:68->eth_src,set_field:00:00:00:00:01:0f->eth_dst,FLOOD
